ID	Number	Name	Location	SubGroup	Latitude	Longitude	Glottocode	ISO639P3code
SanAgustinTlacotepecMixtec	154	SanAgustinTlacotepecMixtec	San Agustín Tlacotepec	Mixtec	17.20365	-97.51853	sana1284	xtm
SanMiguelTlacotepecMixtec	155	SanMiguelTlacotepecMixtec	San Miguel Tlacotepec	Mixtec	17.45511	-98.00552		
TlahuapaMixtec	156	TlahuapaMixtec	Tlahuapa	Mixtec	17.37553	-98.33826	alco1235	xta
SantaCatarinaTlaltempanMixtec	157	SantaCatarinaTlaltempanMixtec	Santa Catarina Tlaltempan	Mixtec	18.61485	-98.08867		
SantiagoTlazoyaltepecMixtec	158	SantiagoTlazoyaltepecMixtec	Santiago Tlazoyaltepec	Mixtec	17.0274	-96.99583	sant1446	mqh
SantiagoTlazoyaltepecMixtec	159	SantiagoTlazoyaltepecMixtec	Santiago Tlazoyaltepec	Mixtec	17.02704	-96.9783	tlaz1235	mqh
SantoDomingoTonahuixtlaMixtec	160	SantoDomingoTonahuixtlaMixtec	Santo Domingo Tonahuixtla	Mixtec	18.20057	-97.89437		
TototepecMixtec	161	TototepecMixtec	Tototepec	Mixtec	17.43238	-98.58289	toto1307	mim
TotoltepecGuerreroMixtec	162	TotoltepecGuerreroMixtec	Totoltepec de Guerrero	Mixtec	18.22581	-97.85526	chaz1235	xtb
SanPedroTututepecMixtec	164	SanPedroTututepecMixtec	San Pedro Tututepec	Mixtec	16.12987	-97.6085	tutu1243	mtu
SanJeronimoXayacatlanMixtec	165	SanJeronimoXayacatlanMixtec	San Jerónimo Xayacatlán	Mixtec	18.22159	-97.91563	sout3001	mit
XayacatlanBravoMixtec	166	XayacatlanBravoMixtec	Xayacatlán de Bravo	Mixtec	18.2353	-97.97435	sout3001	mit
XochapaMixtec	167	XochapaMixtec	Xochapa	Mixtec	17.38134	-98.44988	xoch1238	xta
SantaMariaYolotepecMixtec	168	SantaMariaYolotepecMixtec	Santa María Yolotepec	Mixtec	16.9648	-97.4537	taca1257	xtt
YoloxochitlMixtec	169	YoloxochitlMixtec	Yoloxochitl	Mixtec	16.8059	-98.6293	yolo1241	xty
SantiagoYosonduaMixtec_A	170	SantiagoYosonduaMixtec_A	Santiago Yosondúa	Mixtec	16.9042	-97.5018	yoso1239	mpm
SantiagoYosonduaMixtec_B	171	SantiagoYosonduaMixtec_B	Santiago Yosondúa	Mixtec	16.9042	-97.5018	yoso1239	mpm
SantaMariaYosoyuaMixtec	172	SantaMariaYosoyuaMixtec	Santa María Yosoyúa	Mixtec	17.11985	-97.51553	sant1442	
SantaCatarinaYosonotuMixtec	173	SantaCatarinaYosonotuMixtec	Santa Catarina Yosonotú	Mixtec	17.02073	-97.66201	sant1438	
SanPedroYosonamaMixtec	174	SanPedroYosonamaMixtec	San Pedro Yosoñama	Mixtec	17.4272	-97.77267	yoso1238	xtn
SanBartolomeYucuaneMixtec	175	SanBartolomeYucuaneMixtec	San Bartolomé Yucuañe	Mixtec	17.2832	-97.4285	yucu1250	mvg
SantaMariaYucuhitiMixtec	176	SantaMariaYucuhitiMixtec	Santa María Yucuhiti	Mixtec	17.03036	-97.78237	yucu1249	meh
YucunutiBenitoJuarezMixtec	177	YucunutiBenitoJuarezMixtec	Yucuñuti de Benito Juárez	Mixtec	17.63409	-97.89151	yucu1251	mxb
SanPedroYucunamaMixtec	178	SanPedroYucunamaMixtec	San Pedro Yucunama	Mixtec	17.56221	-97.48291		
SantaMariaYucunicocoMixtec	179	SantaMariaYucunicocoMixtec	Santa María Yucunicoco	Mixtec	17.2372	-97.91806		
YucuquimiOcampoMixtec	180	YucuquimiOcampoMixtec	Yucuquimi de Ocampo	Mixtec	17.57853	-97.89014		
YucunaniMixtec	181	YucunaniMixtec	Yucunani	Mixtec	17.300827	-97.893888	mixt1425	mix
YutanduchiGuerreroMixtec	182	YutanduchiGuerreroMixtec	Yutanduchi de Guerrero	Mixtec	17.0311	-97.2293	yuta1240	mab
SanJuanYutaMixtec	183	SanJuanYutaMixtec	San Juan Yuta	Mixtec	17.02228	-97.17054		
SanAndresYutatioMixtec	184	SanAndresYutatioMixtec	San Andrés Yutatío	Mixtec	17.60626	-97.89428		
SantaMariaZacatepecMixtec	185	SantaMariaZacatepecMixtec	Santa María Zacatepec	Mixtec	16.7003	-97.9484	sant1436	mza
SanSimonZahuatlanMixtec	186	SanSimonZahuatlanMixtec	San Simón Zahuatlán	Mixtec	17.8291	-98.00505	sans1274	
ZapotitlanPalmasMixtec	187	ZapotitlanPalmasMixtec	Zapotitlán Palmas	Mixtec	17.88959	-97.82406		
